Date,INFY.NS,INFY_Return,Excess_Market,Risk_Free_Rate,Excess_INFY,SMB,HML
2012-03-01,260.9986572265625,-0.0059478749362038,-0.0312235234427819,0.0071205442508248,-0.0130684191870285,0.0143947390849568,-0.046169546704286
2012-04-01,224.19317626953125,-0.1410178939161434,-0.0154228811646846,0.0071028407632271,-0.1481207346793704,0.0393330040206177,-0.0282828485747409
2012-05-01,221.2110595703125,-0.0133015498011124,-0.0636630907082026,0.0068798164761834,-0.0201813662772958,-0.00274312199575,-0.0375792485124853
2012-06-01,229.45909118652344,0.0372858013167705,0.0489737482531845,0.0063366258787698,0.0309491754380007,0.000345763293401857,-0.0117299445019523
2012-07-01,203.648193359375,-0.1124858365544871,-0.0165822790241014,0.0069531401656495,-0.1194389767201366,0.021074674149990102,-0.0417235510899296
2012-08-01,215.96612548828125,0.0604863314803336,-0.0030113749181498,0.0067373400505417,0.0537489914297919,0.031897079600738995,-0.051699436531473505
2012-09-01,231.8139038085937,0.0733808521335555,0.0657472405126882,0.0060252758226255,0.0673555763109299,-0.019003200750200698,0.0794145871229204
2012-10-01,216.08956909179688,-0.0678317152614809,-0.0156520367491009,0.0070625621066644,-0.0748942773681452,0.040042506273738204,-0.0303062104417251
2012-11-01,224.26226806640625,0.0378208860749662,0.0225705947427555,0.006466231552314,0.0313546545226521,-0.0500924805338913,0.09068601432720079
2012-12-01,213.3889923095703,-0.0484846418908786,0.007112578984646,0.0066926430544445,-0.0551772849453231,-0.00845778340902292,0.0101757920851795
2013-01-01,256.7164611816406,0.2030445357238191,0.0124360907351162,0.0065819547671712,0.1964625809566479,-0.0561818807886723,-0.0320182504903707
2013-02-01,267.5299072265625,0.0421221373773565,-0.0654156418074042,0.0059050863657232,0.0362170510116333,-0.00755001995301563,-0.10336487349895601
2013-03-01,265.9056396484375,-0.0060713495360705,-0.0242734454143332,0.0059774271512464,-0.0120487766873169,-0.0108893488582178,-0.059116370782081706
2013-04-01,205.7274627685547,-0.2263140298921314,0.0241191631106572,0.0068430814299687,-0.2331571113221001,-0.0918571582565132,0.185259668889767
2013-05-01,221.9477081298828,0.0788433646293302,-0.000337378998241,0.0060820634505267,0.0727613011788035,-0.0324346530796763,-0.00612031880327357
2013-06-01,232.6381683349609,0.0481665717350958,-0.0385665989727726,0.0054917419804516,0.0426748297546442,-0.0677843356932777,0.0021948797111934802
2013-07-01,276.46875,0.1884066659342427,-0.007020195435236,0.0071663657642446,0.1812403001699981,-0.0788808685473716,0.0105271108104972
2013-08-01,289.1487731933594,0.0458642186263704,-0.0287338875559234,0.0087591903455919,0.0371050282807784,0.00127443789732151,-0.04106432558825959
2013-09-01,280.5045166015625,-0.029895532657219,0.0391049028004318,0.0087507450728379,-0.0386462777300569,0.000856598112447537,0.0408686633635427
2013-10-01,308.1454467773437,0.0985400538667378,0.0639769932440384,0.0073819186044117,0.091158135262326,-0.00395563462479243,0.000136086130239743
2013-11-01,314.1752014160156,0.0195678849119222,-0.0095503545811862,0.0067104877616423,0.0128573971502799,0.0527645598256972,0.01989673681143
2013-12-01,326.4535522460937,0.0390812221166356,0.0324969827687027,0.0073571140655779,0.0317241080510577,0.030220547035462002,0.039602992811294
2014-01-01,346.63189697265625,0.06181076783429,-0.0381697081772747,0.007128447154308,0.054682320679982,0.0138139971629356,-0.0706151643716592
2014-02-01,358.2218933105469,0.0334360352844413,0.015795163228678,0.0066559430731794,0.0267800922112619,0.027306323198538398,-0.022226538295189502
2014-03-01,307.455322265625,-0.1417182254712492,0.0529068688143399,0.0074573922927287,-0.1491756177639779,-0.00335116761432264,0.0573167531667234
2014-04-01,297.9024353027344,-0.0310708134518401,0.0001312060446978,0.0070155325494638,-0.0380863460013039,0.055922086841478896,0.0781034706197856
2014-05-01,275.29376220703125,-0.0758928777226266,0.0995084195170133,0.0069380479123144,-0.0828309256349409,0.0434062004460272,0.104991327604963
2014-06-01,309.0916748046875,0.1227703538456457,0.0692920385175368,0.0069999312222854,0.1157704226233603,0.09644132599193829,0.051828587940298904
2014-07-01,319.7347717285156,0.0344334635688696,-0.0023356355344186,0.0070063263052095,0.0274271372636601,0.00896284410871462,-0.0931949400249559
2014-08-01,341.68084716796875,0.0686383758663802,0.0245223547140325,0.0063758973488796,0.0622624785175006,0.037325691378632,-0.0489613413854894
2014-09-01,355.8225402832031,0.0413886035241606,0.0139562192200289,0.0074721838278011,0.0339164196963595,0.052742048561157405,-0.0106954180963827
2014-10-01,384.6377258300781,0.0809819004831471,0.0113652736122093,0.0069340264485546,0.0740478740345925,-0.0158434761743984,0.0139428861132485
2014-11-01,417.1308288574219,0.0844771608328878,0.0102532482154034,0.0061485763748128,0.078328584458075,0.020727001103184997,-0.015413688855857
2014-12-01,377.4494018554688,-0.0951294516174838,-0.0301461918045463,0.0072190340289564,-0.1023484856464402,0.0459142948393039,-0.0524908590405771
2015-01-01,409.8547668457031,0.0858535338271455,0.0501309193521639,0.0065821498621807,0.0792713839649648,-0.000431315582257619,0.00899789194241851
2015-02-01,433.5535888671875,0.0578224872285215,0.0051626167143199,0.0063451465347998,0.0514773406937217,-0.00344919642075447,0.000138416126173491
2015-03-01,424.4835815429688,-0.0209201527956839,-0.0245306582434827,0.0067862470740509,-0.0277063998697348,0.00260915604720191,-0.0568292962738441
2015-04-01,371.6514892578125,-0.1244620394812804,-0.0362352857091154,0.0063012577596086,-0.130763297240889,0.0173105587771607,0.029570538114376
