Date,HDFCBANK.NS,HDFC_Return,Excess_Market,Risk_Free_Rate,Excess_HDFC,SMB,HML
2012-03-01,234.5979919433593,0.0053180206422636,-0.0312235234427819,0.0071205442508248,-0.0018025236085612,0.0143947390849568,-0.046169546704286
2012-04-01,244.8194580078125,0.0435701345087429,-0.0154228811646846,0.0071028407632271,0.0364672937455158,0.0393330040206177,-0.0282828485747409
2012-05-01,228.4380340576172,-0.0669122629528595,-0.0636630907082026,0.0068798164761834,-0.0737920794290429,-0.00274312199575,-0.0375792485124853
2012-06-01,254.31895446777344,0.1132951459546727,0.0489737482531845,0.0063366258787698,0.1069585200759029,0.000345763293401857,-0.0117299445019523
2012-07-01,267.3338317871094,0.0511754121770942,-0.0165822790241014,0.0069531401656495,0.0442222720114447,0.021074674149990102,-0.0417235510899296
2012-08-01,270.79058837890625,0.0129304868324695,-0.0030113749181498,0.0067373400505417,0.0061931467819277,0.031897079600738995,-0.051699436531473505
2012-09-01,286.1642761230469,0.0567733459134438,0.0657472405126882,0.0060252758226255,0.0507480700908183,-0.019003200750200698,0.0794145871229204
2012-10-01,288.4613037109375,0.0080269543739377,-0.0156520367491009,0.0070625621066644,0.0009643922672732,0.040042506273738204,-0.0303062104417251
2012-11-01,320.1865539550781,0.1099809570157528,0.0225705947427555,0.006466231552314,0.1035147254634388,-0.0500924805338913,0.09068601432720079
2012-12-01,308.6562194824219,-0.0360113013186491,0.007112578984646,0.0066926430544445,-0.0427039443730936,-0.00845778340902292,0.0101757920851795
2013-01-01,292.48663330078125,-0.0523870415077168,0.0124360907351162,0.0065819547671712,-0.058968996274888,-0.0561818807886723,-0.0320182504903707
2013-02-01,284.43585205078125,-0.0275252963157496,-0.0654156418074042,0.0059050863657232,-0.0334303826814728,-0.00755001995301563,-0.10336487349895601
2013-03-01,284.43585205078125,0.0,-0.0242734454143332,0.0059774271512464,-0.0059774271512464,-0.0108893488582178,-0.059116370782081706
2013-04-01,310.3391418457031,0.0910690041644162,0.0241191631106572,0.0068430814299687,0.0842259227344475,-0.0918571582565132,0.185259668889767
2013-05-01,318.61737060546875,0.0266747813715404,-0.000337378998241,0.0060820634505267,0.0205927179210137,-0.0324346530796763,-0.00612031880327357
2013-06-01,304.5172119140625,-0.0442542058036939,-0.0385665989727726,0.0054917419804516,-0.0497459477841455,-0.0677843356932777,0.0021948797111934802
2013-07-01,279.6569519042969,-0.0816382753983095,-0.007020195435236,0.0071663657642446,-0.0888046411625541,-0.0788808685473716,0.0105271108104972
2013-08-01,272.433349609375,-0.0258302260885469,-0.0287338875559234,0.0087591903455919,-0.0345894164341388,0.00127443789732151,-0.04106432558825959
2013-09-01,271.99761962890625,-0.0015994002977004,0.0391049028004318,0.0087507450728379,-0.0103501453705383,0.000856598112447537,0.0408686633635427
2013-10-01,312.2434387207031,0.1479638650761183,0.0639769932440384,0.0073819186044117,0.1405819464717066,-0.00395563462479243,0.000136086130239743
2013-11-01,303.2999572753906,-0.0286426561338004,-0.0095503545811862,0.0067104877616423,-0.0353531438954427,0.0527645598256972,0.01989673681143
2013-12-01,305.38677978515625,0.006880391703685,0.0324969827687027,0.0073571140655779,-0.0004767223618929,0.030220547035462002,0.039602992811294
2014-01-01,288.2565002441406,-0.0560937168042016,-0.0381697081772747,0.007128447154308,-0.0632221639585096,0.0138139971629356,-0.0706151643716592
2014-02-01,307.1066589355469,0.0653936985824812,0.015795163228678,0.0066559430731794,0.0587377555093018,0.027306323198538398,-0.022226538295189502
2014-03-01,343.43115234375,0.1182797323057285,0.0529068688143399,0.0074573922927287,0.1108223400129998,-0.00335116761432264,0.0573167531667234
2014-04-01,330.8184509277344,-0.0367255600720555,0.0001312060446978,0.0070155325494638,-0.0437410926215193,0.055922086841478896,0.0781034706197856
2014-05-01,363.5884704589844,0.0990574118201419,0.0995084195170133,0.0069380479123144,0.0921193639078274,0.0434062004460272,0.104991327604963
2014-06-01,376.79730224609375,0.03632907217997,0.0692920385175368,0.0069999312222854,0.0293291409576846,0.09644132599193829,0.051828587940298904
2014-07-01,385.7427368164063,0.0237407075820041,-0.0023356355344186,0.0070063263052095,0.0167343812767946,0.00896284410871462,-0.0931949400249559
2014-08-01,390.1598510742188,0.01145093306038,0.0245223547140325,0.0063758973488796,0.0050750357115004,0.037325691378632,-0.0489613413854894
2014-09-01,403.6192321777344,0.0344970941178548,0.0139562192200289,0.0074721838278011,0.0270249102900537,0.052742048561157405,-0.0106954180963827
2014-10-01,421.7500915527344,0.0449207023093884,0.0113652736122093,0.0069340264485546,0.0379866758608338,-0.0158434761743984,0.0139428861132485
2014-11-01,442.7023010253906,0.0496792055112962,0.0102532482154034,0.0061485763748128,0.0435306291364833,0.020727001103184997,-0.015413688855857
2014-12-01,440.13525390625,-0.0057985854448797,-0.0301461918045463,0.0072190340289564,-0.0130176194738361,0.0459142948393039,-0.0524908590405771
2015-01-01,498.29730224609375,0.1321458524934073,0.0501309193521639,0.0065821498621807,0.1255637026312266,-0.000431315582257619,0.00899789194241851
2015-02-01,487.4974365234375,-0.0216735384156716,0.0051626167143199,0.0063451465347998,-0.0280186849504714,-0.00344919642075447,0.000138416126173491
2015-03-01,473.0205383300781,-0.029696357578002,-0.0245306582434827,0.0067862470740509,-0.0364826046520529,0.00260915604720191,-0.0568292962738441
2015-04-01,457.3410949707031,-0.0331474895672156,-0.0362352857091154,0.0063012577596086,-0.0394487473268242,0.0173105587771607,0.029570538114376
