Date,INFY.NS,INFY_Return,Excess_Market,Risk_Free_Rate,Excess_INFY,Combined,CPI_Shock,General Index,Monthly change IIP,InterestRate,Interest_Shock,USDINR,Monthly change in USD/INR exchange rate
2012-07-01,203.648193359375,-0.1124858365544871,-0.0165822790241014,0.0069531401656495,-0.1194389767201366,101.1,0.0130260521042084,101.5,-0.0078201368523949,8.1,-0.0999999999999996,55.42300033569336,-0.0014413278333181
2012-08-01,215.96612548828125,0.0604863314803336,-0.0030113749181498,0.0067373400505417,0.0537489914297919,102.2,0.0108803165182989,99.9,-0.0157635467980294,8.2,0.0999999999999996,55.62799835205078,0.0036987895840312
2012-09-01,231.8139038085937,0.0733808521335555,0.0657472405126882,0.0060252758226255,0.0673555763109299,102.9,0.0068493150684931,99.0,-0.009009009009009,8.18,-0.0199999999999995,52.84799957275391,-0.0499748123544405
2012-10-01,216.08956909179688,-0.0678317152614809,-0.0156520367491009,0.0070625621066644,-0.0748942773681452,103.6,0.0068027210884351,103.7,0.0474747474747474,8.15,-0.0299999999999993,53.95800018310547,0.0210036447798456
2012-11-01,224.26226806640625,0.0378208860749662,0.0225705947427555,0.006466231552314,0.0313546545226521,104.3,0.0067567567567567,98.3,-0.0520732883317262,8.2,0.0499999999999989,54.8380012512207,0.0163090007993063
2012-12-01,213.3889923095703,-0.0484846418908786,0.007112578984646,0.0066926430544445,-0.0551772849453231,104.6,0.0028763183125599,107.1,0.0895218718209562,8.14,-0.0599999999999987,54.75299835205078,-0.001550072891616
2013-01-01,256.7164611816406,0.2030445357238191,0.0124360907351162,0.0065819547671712,0.1964625809566479,104.6,0.0,107.2,0.0009337068160597,7.87,-0.2700000000000004,53.303001403808594,-0.0264825122255223
2013-02-01,267.5299072265625,0.0421221373773565,-0.0654156418074042,0.0059050863657232,0.0362170510116333,105.3,0.0066921606118546,101.4,-0.0541044776119402,7.84,-0.0300000000000002,53.858001708984375,0.0104121773738641
2013-03-01,265.9056396484375,-0.0060713495360705,-0.0242734454143332,0.0059774271512464,-0.0120487766873169,105.5,0.0018993352326686,115.2,0.136094674556213,7.91,0.0700000000000002,54.27799987792969,0.0077982501321665
2013-04-01,205.7274627685547,-0.2263140298921314,0.0241191631106572,0.0068430814299687,-0.2331571113221001,106.1,0.005687203791469,102.6,-0.1093750000000001,7.83,-0.08,54.22800064086914,-0.0009211694825342
2013-05-01,221.9477081298828,0.0788433646293302,-0.000337378998241,0.0060820634505267,0.0727613011788035,106.9,0.0075400565504242,106.0,0.0331384015594542,7.5,-0.33,56.37799835205078,0.0396473719438825
2013-06-01,232.6381683349609,0.0481665717350958,-0.0385665989727726,0.0054917419804516,0.0426748297546442,109.3,0.0224508886810101,101.3,-0.0443396226415094,7.4,-0.0999999999999996,59.5260009765625,0.0558374315606968
2013-07-01,276.46875,0.1884066659342427,-0.007020195435236,0.0071663657642446,0.1812403001699981,111.0,0.0155535224153706,104.7,0.033563672260612,7.72,0.3199999999999994,60.80799865722656,0.0215367681287514
2013-08-01,289.1487731933594,0.0458642186263704,-0.0287338875559234,0.0087591903455919,0.0371050282807784,112.4,0.0126126126126127,104.3,-0.0038204393505253,8.33,0.6100000000000003,65.697998046875,0.0804170421265344
2013-09-01,280.5045166015625,-0.029895532657219,0.0391049028004318,0.0087507450728379,-0.0386462777300569,113.7,0.0115658362989323,105.7,0.0134228187919462,8.6,0.2699999999999996,62.90999984741211,-0.0424365777093188
2013-10-01,308.1454467773437,0.0985400538667378,0.0639769932440384,0.0073819186044117,0.091158135262326,114.8,0.009674582233949,105.7,0.0,8.57,-0.0299999999999993,61.31999969482422,-0.0252742037266638
2013-11-01,314.1752014160156,0.0195678849119222,-0.0095503545811862,0.0067104877616423,0.0128573971502799,116.3,0.0130662020905922,101.9,-0.0359508041627246,8.86,0.2899999999999991,62.391998291015625,0.0174820385115215
2013-12-01,326.4535522460937,0.0390812221166356,0.0324969827687027,0.0073571140655779,0.0317241080510577,114.5,-0.0154772141014617,110.9,0.0883218842001962,8.88,0.0200000000000013,61.77999877929688,-0.0098089423080214
2014-01-01,346.63189697265625,0.06181076783429,-0.0381697081772747,0.007128447154308,0.054682320679982,113.6,-0.0078602620087336,112.3,0.0126239855725878,8.76,-0.120000000000001,62.310001373291016,0.0085788702568208
2014-02-01,358.2218933105469,0.0334360352844413,0.015795163228678,0.0066559430731794,0.0267800922112619,113.6,0.0,106.7,-0.0498664292074799,8.81,0.0500000000000007,62.02000045776367,-0.0046541632023081
2014-03-01,307.455322265625,-0.1417182254712492,0.0529068688143399,0.0074573922927287,-0.1491756177639779,114.2,0.0052816901408452,118.5,0.1105904404873476,8.84,0.0299999999999993,59.84000015258789,-0.0351499562896712
2014-04-01,297.9024353027344,-0.0310708134518401,0.0001312060446978,0.0070155325494638,-0.0380863460013039,115.1,0.0078809106830122,106.6,-0.10042194092827,8.99,0.1500000000000003,60.417999267578125,0.0096590760948591
2014-05-01,275.29376220703125,-0.0758928777226266,0.0995084195170133,0.0069380479123144,-0.0828309256349409,115.8,0.0060816681146829,111.0,0.0412757973733584,8.75,-0.2400000000000002,58.900001525878906,-0.0251249256860747
2014-06-01,309.0916748046875,0.1227703538456457,0.0692920385175368,0.0069999312222854,0.1157704226233603,116.7,0.0077720207253886,109.7,-0.0117117117117117,8.63,-0.1199999999999992,60.03799819946289,0.0193208258761077
2014-07-01,319.7347717285156,0.0344334635688696,-0.0023356355344186,0.0070063263052095,0.0274271372636601,119.2,0.0214224507283633,110.4,0.0063810391978122,8.66,0.0299999999999993,60.25,0.0035311270677742
2014-08-01,341.68084716796875,0.0686383758663802,0.0245223547140325,0.0063758973488796,0.0622624785175006,120.3,0.0092281879194631,108.0,-0.0217391304347827,8.56,-0.0999999999999996,60.51300048828125,0.0043651533324688
2014-09-01,355.8225402832031,0.0413886035241606,0.0139562192200289,0.0074721838278011,0.0339164196963595,120.1,-0.0016625103906899,110.2,0.0203703703703703,8.49,-0.0700000000000002,61.553001403808594,0.0171864046921412
2014-10-01,384.6377258300781,0.0809819004831471,0.0113652736122093,0.0069340264485546,0.0740478740345925,120.1,0.0,106.0,-0.0381125226860253,8.4,-0.0899999999999998,61.43299865722656,-0.0019495839982647
2014-11-01,417.1308288574219,0.0844771608328878,0.0102532482154034,0.0061485763748128,0.078328584458075,120.1,0.0,109.4,0.0320754716981133,8.19,-0.2100000000000008,61.85300064086914,0.006836748861732
2014-12-01,377.4494018554688,-0.0951294516174838,-0.0301461918045463,0.0072190340289564,-0.1023484856464402,119.4,-0.0058284762697751,115.3,0.0539305301645336,7.96,-0.2299999999999995,63.37799835205078,0.0246551936911854
2015-01-01,409.8547668457031,0.0858535338271455,0.0501309193521639,0.0065821498621807,0.0792713839649648,119.5,0.0008375209380233,114.3,-0.0086730268863833,7.79,-0.1699999999999999,62.01300048828125,-0.0215374088684099
2015-02-01,433.5535888671875,0.0578224872285215,0.0051626167143199,0.0063451465347998,0.0514773406937217,119.7,0.001673640167364,109.9,-0.0384951881014872,7.73,-0.0599999999999996,61.75400161743164,-0.0041765253867783
2015-03-01,424.4835815429688,-0.0209201527956839,-0.0245306582434827,0.0067862470740509,-0.0277063998697348,120.2,0.0041771094402673,121.3,0.1037306642402182,7.82,0.0899999999999998,62.50899887084961,0.0122258838883868
2015-04-01,371.6514892578125,-0.1244620394812804,-0.0362352857091154,0.0063012577596086,-0.130763297240889,120.7,0.0041597337770382,107.3,-0.1154163231657048,7.84,0.0199999999999995,63.44200134277344,0.0149258904922076
2015-05-01,387.1318054199219,0.0416527758116174,0.0305645485830656,0.0060845516815191,0.0355682241300983,121.6,0.0074565037282516,113.0,0.0531220876048461,7.85,0.0099999999999997,63.82500076293945,0.0060370009151617
2015-06-01,376.71282958984375,-0.0269132519834599,-0.0168674784891738,0.0065292371975684,-0.0334424891810283,123.0,0.0115131578947369,110.8,-0.0194690265486725,7.81,-0.04,63.7239990234375,-0.0015824792525596
2015-07-01,418.4391479492188,0.1107642614795088,0.0260942844993932,0.0061770512036554,0.1045872102758534,123.6,0.0048780487804878,111.8,0.0090252707581226,7.82,0.0100000000000006,64.11799621582031,0.0061828698515593
2015-08-01,425.17974853515625,0.0161089148063064,-0.0614933359711837,0.006081009143104,0.0100279056632024,124.8,0.0097087378640776,112.0,0.001788908765653,7.79,-0.0300000000000002,66.14299774169922,0.0315824206212367
2015-09-01,451.42327880859375,0.0617233778510208,-0.0098368305182919,0.0059069613060389,0.0558164165449819,125.4,0.0048076923076922,112.6,0.0053571428571428,7.73,-0.0599999999999996,65.91999816894531,-0.0033714766546378
2015-10-01,441.1278076171875,-0.0228066909145188,0.0181403528731425,0.0056284123796244,-0.0284351032941432,126.1,0.0055821371610844,115.5,0.0257548845470694,7.6,-0.1300000000000007,65.44400024414062,-0.0072208425064691
2015-11-01,426.54150390625,-0.0330659356745779,-0.0147858538669712,0.0058600825562884,-0.0389260182308663,126.6,0.0039651070578905,110.3,-0.045021645021645,7.75,0.1500000000000003,66.9000015258789,0.0222480483513634
2015-12-01,433.4028930664063,0.0160860997049994,0.0117866175183328,0.0059134778212908,0.0101726218837085,126.1,-0.0039494470774091,118.9,0.0779691749773345,7.79,0.04,66.45500183105469,-0.0066517142701719
2016-01-01,456.7314147949219,0.0538264097949645,-0.0604871642106595,0.0055750708071153,0.0482513389878492,126.3,0.0015860428231562,118.9,0.0,7.67,-0.1200000000000001,68.09300231933594,0.0246482648882542
2016-02-01,425.0319213867188,-0.0694051085197118,-0.0876986899076557,0.006034074588699,-0.0754391831084108,126.0,-0.002375296912114,117.8,-0.0092514718250631,7.72,0.0499999999999998,68.7300033569336,0.0093548678410493
2016-03-01,477.6684265136719,0.1238412986846257,0.0995502672451739,0.0059742866195895,0.1178670120650362,126.0,0.0,127.6,0.0831918505942275,7.58,-0.1399999999999996,66.36799621582031,-0.0343664633456619
2016-04-01,473.6690979003906,-0.0083726040728102,0.0184669329617289,0.0053229901774145,-0.0136955942502247,127.3,0.0103174603174602,113.7,-0.1089341692789968,7.44,-0.1399999999999996,66.41799926757812,0.0007534211458668
2016-05-01,489.56787109375,0.0335651476185232,0.0067521714523832,0.0058192519538187,0.0277458956647045,128.6,0.0102120974076982,121.3,0.0668425681618294,7.28,-0.1600000000000001,67.13300323486328,0.0107652138753024
2016-06-01,459.0446472167969,-0.0623472774239878,0.0318193072522708,0.0054189324265694,-0.0677662098505572,130.1,0.0116640746500777,119.7,-0.0131904369332234,7.5,0.2199999999999997,67.41600036621094,0.0042154695561227
2016-07-01,425.93505859375,-0.0721271641523138,0.0417750294878163,0.0050932137446002,-0.077220377896914,131.1,0.0076863950807071,116.8,-0.0242272347535505,7.35,-0.1500000000000003,66.64800262451172,-0.0113919208723058
2016-08-01,410.8626403808594,-0.0353866579160051,0.0060494375891067,0.0057600096104848,-0.0411466675264899,131.1,0.0,116.5,-0.0025684931506848,7.14,-0.2099999999999999,67.12660217285156,0.0071810036234127
2016-09-01,410.9420166015625,0.0001931940578232,-0.0097048732004364,0.0052178521182997,-0.0050246580604765,130.9,-0.001525553012967,118.2,0.0145922746781115,6.86,-0.2799999999999993,66.81629943847656,-0.0046226492080735
