Date,HDFCBANK.NS,HDFC_Return,Excess_Market,Risk_Free_Rate,Excess_HDFC,Combined,CPI_Shock,General Index,Monthly change IIP,InterestRate,Interest_Shock,USDINR,Monthly change in USD/INR exchange rate
2014-04-01,330.8184509277344,-0.0367255600720555,0.0001312060446978,0.0070155325494638,-0.0437410926215193,115.1,0.0078809106830122,106.6,-0.10042194092827,8.99,0.1500000000000003,60.417999267578125,0.0096590760948591
2014-05-01,363.5884704589844,0.0990574118201419,0.0995084195170133,0.0069380479123144,0.0921193639078274,115.8,0.0060816681146829,111.0,0.0412757973733584,8.75,-0.2400000000000002,58.900001525878906,-0.0251249256860747
2014-06-01,376.79730224609375,0.03632907217997,0.0692920385175368,0.0069999312222854,0.0293291409576846,116.7,0.0077720207253886,109.7,-0.0117117117117117,8.63,-0.1199999999999992,60.03799819946289,0.0193208258761077
2014-07-01,385.7427368164063,0.0237407075820041,-0.0023356355344186,0.0070063263052095,0.0167343812767946,119.2,0.0214224507283633,110.4,0.0063810391978122,8.66,0.0299999999999993,60.25,0.0035311270677742
2014-08-01,390.1598510742188,0.01145093306038,0.0245223547140325,0.0063758973488796,0.0050750357115004,120.3,0.0092281879194631,108.0,-0.0217391304347827,8.56,-0.0999999999999996,60.51300048828125,0.0043651533324688
2014-09-01,403.6192321777344,0.0344970941178548,0.0139562192200289,0.0074721838278011,0.0270249102900537,120.1,-0.0016625103906899,110.2,0.0203703703703703,8.49,-0.0700000000000002,61.553001403808594,0.0171864046921412
2014-10-01,421.7500915527344,0.0449207023093884,0.0113652736122093,0.0069340264485546,0.0379866758608338,120.1,0.0,106.0,-0.0381125226860253,8.4,-0.0899999999999998,61.43299865722656,-0.0019495839982647
2014-11-01,442.7023010253906,0.0496792055112962,0.0102532482154034,0.0061485763748128,0.0435306291364833,120.1,0.0,109.4,0.0320754716981133,8.19,-0.2100000000000008,61.85300064086914,0.006836748861732
2014-12-01,440.13525390625,-0.0057985854448797,-0.0301461918045463,0.0072190340289564,-0.0130176194738361,119.4,-0.0058284762697751,115.3,0.0539305301645336,7.96,-0.2299999999999995,63.37799835205078,0.0246551936911854
2015-01-01,498.29730224609375,0.1321458524934073,0.0501309193521639,0.0065821498621807,0.1255637026312266,119.5,0.0008375209380233,114.3,-0.0086730268863833,7.79,-0.1699999999999999,62.01300048828125,-0.0215374088684099
2015-02-01,487.4974365234375,-0.0216735384156716,0.0051626167143199,0.0063451465347998,-0.0280186849504714,119.7,0.001673640167364,109.9,-0.0384951881014872,7.73,-0.0599999999999996,61.75400161743164,-0.0041765253867783
2015-03-01,473.0205383300781,-0.029696357578002,-0.0245306582434827,0.0067862470740509,-0.0364826046520529,120.2,0.0041771094402673,121.3,0.1037306642402182,7.82,0.0899999999999998,62.50899887084961,0.0122258838883868
2015-04-01,457.3410949707031,-0.0331474895672156,-0.0362352857091154,0.0063012577596086,-0.0394487473268242,120.7,0.0041597337770382,107.3,-0.1154163231657048,7.84,0.0199999999999995,63.44200134277344,0.0149258904922076
2015-05-01,485.9017639160156,0.0624493824399097,0.0305645485830656,0.0060845516815191,0.0563648307583906,121.6,0.0074565037282516,113.0,0.0531220876048461,7.85,0.0099999999999997,63.82500076293945,0.0060370009151617
2015-06-01,493.5796203613281,0.0158012524660016,-0.0168674784891738,0.0065292371975684,0.0092720152684332,123.0,0.0115131578947369,110.8,-0.0194690265486725,7.81,-0.04,63.7239990234375,-0.0015824792525596
2015-07-01,514.161865234375,0.0416999487498683,0.0260942844993932,0.0061770512036554,0.0355228975462129,123.6,0.0048780487804878,111.8,0.0090252707581226,7.82,0.0100000000000006,64.11799621582031,0.0061828698515593
2015-08-01,478.7893981933594,-0.0687963643995485,-0.0614933359711837,0.006081009143104,-0.0748773735426525,124.8,0.0097087378640776,112.0,0.001788908765653,7.79,-0.0300000000000002,66.14299774169922,0.0315824206212367
2015-09-01,498.0584716796875,0.0402454055144854,-0.0098368305182919,0.0059069613060389,0.0343384442084465,125.4,0.0048076923076922,112.6,0.0053571428571428,7.73,-0.0599999999999996,65.91999816894531,-0.0033714766546378
2015-10-01,512.4110717773438,0.0288170986214781,0.0181403528731425,0.0056284123796244,0.0231886862418537,126.1,0.0055821371610844,115.5,0.0257548845470694,7.6,-0.1300000000000007,65.44400024414062,-0.0072208425064691
2015-11-01,502.2291259765625,-0.0198706592452506,-0.0147858538669712,0.0058600825562884,-0.025730741801539,126.6,0.0039651070578905,110.3,-0.045021645021645,7.75,0.1500000000000003,66.9000015258789,0.0222480483513634
2015-12-01,504.2795104980469,0.0040825679265366,0.0117866175183328,0.0059134778212908,-0.0018309098947542,126.1,-0.0039494470774091,118.9,0.0779691749773345,7.79,0.04,66.45500183105469,-0.0066517142701719
2016-01-01,489.227783203125,-0.0298479850590324,-0.0604871642106595,0.0055750708071153,-0.0354230558661477,126.3,0.0015860428231562,118.9,0.0,7.67,-0.1200000000000001,68.09300231933594,0.0246482648882542
2016-02-01,452.8798828125,-0.0742964762807297,-0.0876986899076557,0.006034074588699,-0.0803305508694287,126.0,-0.002375296912114,117.8,-0.0092514718250631,7.72,0.0499999999999998,68.7300033569336,0.0093548678410493
2016-03-01,499.1535949707031,0.1021765680357262,0.0995502672451739,0.0059742866195895,0.0962022814161367,126.0,0.0,127.6,0.0831918505942275,7.58,-0.1399999999999996,66.36799621582031,-0.0343664633456619
2016-04-01,527.6725463867188,0.0571346208929728,0.0184669329617289,0.0053229901774145,0.0518116307155583,127.3,0.0103174603174602,113.7,-0.1089341692789968,7.44,-0.1399999999999996,66.41799926757812,0.0007534211458668
2016-05-01,550.7627563476562,0.0437585963473932,0.0067521714523832,0.0058192519538187,0.0379393443935745,128.6,0.0102120974076982,121.3,0.0668425681618294,7.28,-0.1600000000000001,67.13300323486328,0.0107652138753024
2016-06-01,548.2230224609375,-0.0046113028839509,0.0318193072522708,0.0054189324265694,-0.0100302353105202,130.1,0.0116640746500777,119.7,-0.0131904369332234,7.5,0.2199999999999997,67.41600036621094,0.0042154695561227
2016-07-01,585.4927978515625,0.067982871684818,0.0417750294878163,0.0050932137446002,0.0628896579402178,131.1,0.0076863950807071,116.8,-0.0242272347535505,7.35,-0.1500000000000003,66.64800262451172,-0.0113919208723058
2016-08-01,606.6348266601562,0.0361098016682244,0.0060494375891067,0.0057600096104848,0.0303497920577396,131.1,0.0,116.5,-0.0025684931506848,7.14,-0.2099999999999999,67.12660217285156,0.0071810036234127
2016-09-01,598.0136108398438,-0.0142115411800156,-0.0097048732004364,0.0052178521182997,-0.0194293932983153,130.9,-0.001525553012967,118.2,0.0145922746781115,6.86,-0.2799999999999993,66.81629943847656,-0.0046226492080735
2016-10-01,591.5302124023438,-0.0108415566468375,0.0254112866843188,0.0051033025300208,-0.0159448591768583,131.4,0.0038197097020626,120.3,0.0177664974619289,6.78,-0.08,66.78140258789062,-0.0005222805045955
