Date,RELIANCE.NS,RELI_Return,Excess_Market,Risk_Free_Rate,Excess_RELI,Combined,CPI_Shock,General Index,Monthly change IIP,InterestRate,Interest_Shock,USDINR,Monthly change in USD/INR exchange rate
2012-03-01,166.19825744628906,-0.0854705440407807,-0.0312235234427819,0.0071205442508248,-0.0925910882916054,96.4,0.0094240837696335,99.2,0.0,8.37,0.1799999999999997,50.86800003051758,0.0366837696248787
2012-04-01,164.98043823242188,-0.0073275089196452,-0.0154228811646846,0.0071028407632271,-0.0144303496828722,97.8,0.0145228215767634,99.3,0.001008064516129,8.59,0.2200000000000006,52.53799819946289,0.0328300339691636
2012-05-01,156.23431396484375,-0.0530130987726964,-0.0636630907082026,0.0068798164761834,-0.0598929152488798,98.6,0.0081799591002045,105.0,0.0574018126888218,8.56,-0.0299999999999993,56.22800064086914,0.0702349264887669
2012-06-01,163.3751220703125,0.0457057603048431,0.0489737482531845,0.0063366258787698,0.0393691344260733,99.8,0.0121703853955374,102.3,-0.0257142857142856,8.2,-0.3600000000000012,55.50299835205078,-0.0128939724079641
2012-07-01,164.64830017089844,0.0077929741349358,-0.0165822790241014,0.0069531401656495,0.0008398339692862,101.1,0.0130260521042084,101.5,-0.0078201368523949,8.1,-0.0999999999999996,55.42300033569336,-0.0014413278333181
2012-08-01,169.69668579101562,0.0306616321873784,-0.0030113749181498,0.0067373400505417,0.0239242921368366,102.2,0.0108803165182989,99.9,-0.0157635467980294,8.2,0.0999999999999996,55.62799835205078,0.0036987895840312
2012-09-01,185.37326049804688,0.0923799697911438,0.0657472405126882,0.0060252758226255,0.0863546939685182,102.9,0.0068493150684931,99.0,-0.009009009009009,8.18,-0.0199999999999995,52.84799957275391,-0.0499748123544405
2012-10-01,178.35421752929688,-0.0378643767169643,-0.0156520367491009,0.0070625621066644,-0.0449269388236287,103.6,0.0068027210884351,103.7,0.0474747474747474,8.15,-0.0299999999999993,53.95800018310547,0.0210036447798456
2012-11-01,175.74147033691406,-0.0146492033021514,0.0225705947427555,0.006466231552314,-0.0211154348544654,104.3,0.0067567567567567,98.3,-0.0520732883317262,8.2,0.0499999999999989,54.8380012512207,0.0163090007993063
2012-12-01,185.8936004638672,0.0577674131637255,0.007112578984646,0.0066926430544445,0.051074770109281,104.6,0.0028763183125599,107.1,0.0895218718209562,8.14,-0.0599999999999987,54.75299835205078,-0.001550072891616
2013-01-01,196.3225250244141,0.056101579261057,0.0124360907351162,0.0065819547671712,0.0495196244938858,104.6,0.0,107.2,0.0009337068160597,7.87,-0.2700000000000004,53.303001403808594,-0.0264825122255223
2013-02-01,180.20309448242188,-0.0821068827430151,-0.0654156418074042,0.0059050863657232,-0.0880119691087383,105.3,0.0066921606118546,101.4,-0.0541044776119402,7.84,-0.0300000000000002,53.858001708984375,0.0104121773738641
2013-03-01,171.1359100341797,-0.0503164747213964,-0.0242734454143332,0.0059774271512464,-0.0562939018726428,105.5,0.0018993352326686,115.2,0.136094674556213,7.91,0.0700000000000002,54.27799987792969,0.0077982501321665
2013-04-01,174.52365112304688,0.0197956179284088,0.0241191631106572,0.0068430814299687,0.01295253649844,106.1,0.005687203791469,102.6,-0.1093750000000001,7.83,-0.08,54.22800064086914,-0.0009211694825342
2013-05-01,178.53134155273438,0.0229635949276691,-0.000337378998241,0.0060820634505267,0.0168815314771424,106.9,0.0075400565504242,106.0,0.0331384015594542,7.5,-0.33,56.37799835205078,0.0396473719438825
2013-06-01,190.99734497070312,0.0698252940326813,-0.0385665989727726,0.0054917419804516,0.0643335520522297,109.3,0.0224508886810101,101.3,-0.0443396226415094,7.4,-0.0999999999999996,59.5260009765625,0.0558374315606968
2013-07-01,193.0897827148437,0.010955323721707,-0.007020195435236,0.0071663657642446,0.0037889579574623,111.0,0.0155535224153706,104.7,0.033563672260612,7.72,0.3199999999999994,60.80799865722656,0.0215367681287514
2013-08-01,189.0599060058593,-0.0208704813497859,-0.0287338875559234,0.0087591903455919,-0.0296296716953778,112.4,0.0126126126126127,104.3,-0.0038204393505253,8.33,0.6100000000000003,65.697998046875,0.0804170421265344
2013-09-01,182.09622192382807,-0.0368332145569535,0.0391049028004318,0.0087507450728379,-0.0455839596297914,113.7,0.0115658362989323,105.7,0.0134228187919462,8.6,0.2699999999999996,62.90999984741211,-0.0424365777093188
2013-10-01,202.53335571289065,0.1122326074267019,0.0639769932440384,0.0073819186044117,0.1048506888222901,114.8,0.009674582233949,105.7,0.0,8.57,-0.0299999999999993,61.31999969482422,-0.0252742037266638
2013-11-01,188.9159545898437,-0.0672353503210149,-0.0095503545811862,0.0067104877616423,-0.0739458380826572,116.3,0.0130662020905922,101.9,-0.0359508041627246,8.86,0.2899999999999991,62.391998291015625,0.0174820385115215
2013-12-01,198.21563720703125,0.049226560230861,0.0324969827687027,0.0073571140655779,0.0418694461652831,114.5,-0.0154772141014617,110.9,0.0883218842001962,8.88,0.0200000000000013,61.77999877929688,-0.0098089423080214
2014-01-01,184.0336761474609,-0.071548144532904,-0.0381697081772747,0.007128447154308,-0.078676591687212,113.6,-0.0078602620087336,112.3,0.0126239855725878,8.76,-0.120000000000001,62.310001373291016,0.0085788702568208
2014-02-01,177.12535095214844,-0.0375383752578905,0.015795163228678,0.0066559430731794,-0.0441943183310699,113.6,0.0,106.7,-0.0498664292074799,8.81,0.0500000000000007,62.02000045776367,-0.0046541632023081
2014-03-01,206.087142944336,0.1635101459870176,0.0529068688143399,0.0074573922927287,0.1560527536942889,114.2,0.0052816901408452,118.5,0.1105904404873476,8.84,0.0299999999999993,59.84000015258789,-0.0351499562896712
2014-04-01,207.205322265625,0.0054257597311204,0.0001312060446978,0.0070155325494638,-0.0015897728183433,115.1,0.0078809106830122,106.6,-0.10042194092827,8.99,0.1500000000000003,60.417999267578125,0.0096590760948591
2014-05-01,235.7464141845703,0.137743044468507,0.0995084195170133,0.0069380479123144,0.1308049965561926,115.8,0.0060816681146829,111.0,0.0412757973733584,8.75,-0.2400000000000002,58.900001525878906,-0.0251249256860747
2014-06-01,224.8303985595703,-0.0463040579546361,0.0692920385175368,0.0069999312222854,-0.0533039891769215,116.7,0.0077720207253886,109.7,-0.0117117117117117,8.63,-0.1199999999999992,60.03799819946289,0.0193208258761077
2014-07-01,222.84866333007807,-0.0088143562533745,-0.0023356355344186,0.0070063263052095,-0.015820682558584,119.2,0.0214224507283633,110.4,0.0063810391978122,8.66,0.0299999999999993,60.25,0.0035311270677742
2014-08-01,221.1326904296875,-0.0077001713842407,0.0245223547140325,0.0063758973488796,-0.0140760687331203,120.3,0.0092281879194631,108.0,-0.0217391304347827,8.56,-0.0999999999999996,60.51300048828125,0.0043651533324688
2014-09-01,209.3973846435547,-0.0530690680031509,0.0139562192200289,0.0074721838278011,-0.060541251830952,120.1,-0.0016625103906899,110.2,0.0203703703703703,8.49,-0.0700000000000002,61.553001403808594,0.0171864046921412
2014-10-01,221.54229736328125,0.0579993524771103,0.0113652736122093,0.0069340264485546,0.0510653260285557,120.1,0.0,106.0,-0.0381125226860253,8.4,-0.0899999999999998,61.43299865722656,-0.0019495839982647
2014-11-01,219.5605926513672,-0.0089450400013885,0.0102532482154034,0.0061485763748128,-0.0150936163762013,120.1,0.0,109.4,0.0320754716981133,8.19,-0.2100000000000008,61.85300064086914,0.006836748861732
2014-12-01,197.3188934326172,-0.1013009618445821,-0.0301461918045463,0.0072190340289564,-0.1085199958735385,119.4,-0.0058284762697751,115.3,0.0539305301645336,7.96,-0.2299999999999995,63.37799835205078,0.0246551936911854
2015-01-01,202.6551208496093,0.0270436719168731,0.0501309193521639,0.0065821498621807,0.0204615220546924,119.5,0.0008375209380233,114.3,-0.0086730268863833,7.79,-0.1699999999999999,62.01300048828125,-0.0215374088684099
2015-02-01,189.4363250732422,-0.0652280372731209,0.0051626167143199,0.0063451465347998,-0.0715731838079207,119.7,0.001673640167364,109.9,-0.0384951881014872,7.73,-0.0599999999999996,61.75400161743164,-0.0041765253867783
2015-03-01,182.89334106445312,-0.0345392258124693,-0.0245306582434827,0.0067862470740509,-0.0413254728865202,120.2,0.0041771094402673,121.3,0.1037306642402182,7.82,0.0899999999999998,62.50899887084961,0.0122258838883868
2015-04-01,190.9419860839844,0.0440073158086977,-0.0362352857091154,0.0063012577596086,0.037706058049089,120.7,0.0041597337770382,107.3,-0.1154163231657048,7.84,0.0199999999999995,63.44200134277344,0.0149258904922076
2015-05-01,194.1858062744141,0.0169885118352279,0.0305645485830656,0.0060845516815191,0.0109039601537087,121.6,0.0074565037282516,113.0,0.0531220876048461,7.85,0.0099999999999997,63.82500076293945,0.0060370009151617
2015-06-01,221.4426727294922,0.140364875157559,-0.0168674784891738,0.0065292371975684,0.1338356379599906,123.0,0.0115131578947369,110.8,-0.0194690265486725,7.81,-0.04,63.7239990234375,-0.0015824792525596
2015-07-01,221.83013916015625,0.0017497369675327,0.0260942844993932,0.0061770512036554,-0.0044273142361227,123.6,0.0048780487804878,111.8,0.0090252707581226,7.82,0.0100000000000006,64.11799621582031,0.0061828698515593
2015-08-01,189.5138397216797,-0.1456803821195141,-0.0614933359711837,0.006081009143104,-0.1517613912626181,124.8,0.0097087378640776,112.0,0.001788908765653,7.79,-0.0300000000000002,66.14299774169922,0.0315824206212367
2015-09-01,190.9309234619141,0.0074774683596487,-0.0098368305182919,0.0059069613060389,0.0015705070536098,125.4,0.0048076923076922,112.6,0.0053571428571428,7.73,-0.0599999999999996,65.91999816894531,-0.0033714766546378
