Date,RELIANCE.NS,RELI_Return,Excess_Market,Risk_Free_Rate,Excess_RELI
2012-03-01,166.19825744628906,-0.0854705440407807,-0.0312235234427819,0.0071205442508248,-0.09259108829160549
2012-04-01,164.98043823242188,-0.0073275089196452,-0.0154228811646846,0.0071028407632271,-0.014430349682872299
2012-05-01,156.23431396484375,-0.0530130987726964,-0.0636630907082026,0.0068798164761834,-0.059892915248879804
2012-06-01,163.3751220703125,0.0457057603048431,0.0489737482531845,0.0063366258787698,0.0393691344260733
2012-07-01,164.64830017089844,0.0077929741349358,-0.0165822790241014,0.0069531401656495,0.0008398339692862996
2012-08-01,169.69668579101562,0.0306616321873784,-0.0030113749181498,0.0067373400505417,0.023924292136836698
2012-09-01,185.37326049804688,0.0923799697911438,0.0657472405126882,0.0060252758226255,0.08635469396851829
2012-10-01,178.35421752929688,-0.0378643767169643,-0.0156520367491009,0.0070625621066644,-0.0449269388236287
2012-11-01,175.74147033691406,-0.0146492033021514,0.0225705947427555,0.006466231552314,-0.0211154348544654
2012-12-01,185.8936004638672,0.0577674131637255,0.007112578984646,0.0066926430544445,0.051074770109281
2013-01-01,196.3225250244141,0.056101579261057,0.0124360907351162,0.0065819547671712,0.0495196244938858
2013-02-01,180.20309448242188,-0.0821068827430151,-0.0654156418074042,0.0059050863657232,-0.0880119691087383
2013-03-01,171.1359100341797,-0.0503164747213964,-0.0242734454143332,0.0059774271512464,-0.0562939018726428
2013-04-01,174.52365112304688,0.0197956179284088,0.0241191631106572,0.0068430814299687,0.012952536498440099
2013-05-01,178.53134155273438,0.0229635949276691,-0.000337378998241,0.0060820634505267,0.0168815314771424
2013-06-01,190.99734497070312,0.0698252940326813,-0.0385665989727726,0.0054917419804516,0.0643335520522297
2013-07-01,193.0897827148437,0.010955323721707,-0.007020195435236,0.0071663657642446,0.003788957957462399
2013-08-01,189.05990600585932,-0.0208704813497859,-0.0287338875559234,0.0087591903455919,-0.0296296716953778
2013-09-01,182.09622192382807,-0.0368332145569535,0.0391049028004318,0.0087507450728379,-0.0455839596297914
2013-10-01,202.53335571289065,0.1122326074267019,0.0639769932440384,0.0073819186044117,0.10485068882229019
2013-11-01,188.9159545898437,-0.0672353503210149,-0.0095503545811862,0.0067104877616423,-0.0739458380826572
2013-12-01,198.21563720703125,0.049226560230861,0.0324969827687027,0.0073571140655779,0.0418694461652831
2014-01-01,184.0336761474609,-0.071548144532904,-0.0381697081772747,0.007128447154308,-0.078676591687212
2014-02-01,177.12535095214844,-0.0375383752578905,0.015795163228678,0.0066559430731794,-0.0441943183310699
2014-03-01,206.087142944336,0.1635101459870176,0.0529068688143399,0.0074573922927287,0.1560527536942889
2014-04-01,207.205322265625,0.0054257597311204,0.0001312060446978,0.0070155325494638,-0.0015897728183433997
2014-05-01,235.7464141845703,0.137743044468507,0.0995084195170133,0.0069380479123144,0.1308049965561926
2014-06-01,224.8303985595703,-0.0463040579546361,0.0692920385175368,0.0069999312222854,-0.0533039891769215
2014-07-01,222.84866333007807,-0.0088143562533745,-0.0023356355344186,0.0070063263052095,-0.015820682558584
2014-08-01,221.1326904296875,-0.0077001713842407,0.0245223547140325,0.0063758973488796,-0.0140760687331203
2014-09-01,209.3973846435547,-0.0530690680031509,0.0139562192200289,0.0074721838278011,-0.060541251830952
2014-10-01,221.54229736328125,0.0579993524771103,0.0113652736122093,0.0069340264485546,0.0510653260285557
2014-11-01,219.5605926513672,-0.0089450400013885,0.0102532482154034,0.0061485763748128,-0.0150936163762013
2014-12-01,197.3188934326172,-0.1013009618445821,-0.0301461918045463,0.0072190340289564,-0.1085199958735385
2015-01-01,202.65512084960932,0.0270436719168731,0.0501309193521639,0.0065821498621807,0.0204615220546924
2015-02-01,189.4363250732422,-0.0652280372731209,0.0051626167143199,0.0063451465347998,-0.0715731838079207
2015-03-01,182.89334106445312,-0.0345392258124693,-0.0245306582434827,0.0067862470740509,-0.0413254728865202
2015-04-01,190.9419860839844,0.0440073158086977,-0.0362352857091154,0.0063012577596086,0.037706058049089095
2015-05-01,194.1858062744141,0.0169885118352279,0.0305645485830656,0.0060845516815191,0.010903960153708798
2015-06-01,221.4426727294922,0.140364875157559,-0.0168674784891738,0.0065292371975684,0.1338356379599906
2015-07-01,221.83013916015625,0.0017497369675327,0.0260942844993932,0.0061770512036554,-0.0044273142361227
2015-08-01,189.5138397216797,-0.1456803821195141,-0.0614933359711837,0.006081009143104,-0.1517613912626181
2015-09-01,190.9309234619141,0.0074774683596487,-0.0098368305182919,0.0059069613060389,0.0015705070536098003
2015-10-01,209.8402099609375,0.099037317560533,0.0181403528731425,0.0056284123796244,0.0934089051809086
2015-11-01,214.13577270507807,0.0204706368952842,-0.0147858538669712,0.0058600825562884,0.014610554338995801
2015-12-01,224.6532440185547,0.0491159005364412,0.0117866175183328,0.0059134778212908,0.0432024227151504
2016-01-01,229.25880432128903,0.0205007513817783,-0.0604871642106595,0.0055750708071153,0.014925680574663001
2016-02-01,214.03614807128903,-0.0663994401221188,-0.0876986899076557,0.006034074588699,-0.0724335147108178
2016-03-01,231.4286956787109,0.081259860841959,0.0995502672451739,0.0059742866195895,0.0752855742223695
2016-04-01,220.03982543945312,-0.0492111412798557,0.0184669329617289,0.0053229901774145,-0.0545341314572702
2016-05-01,214.47555541992188,-0.0252875587790463,0.0067521714523832,0.0058192519538187,-0.031106810732865003
2016-06-01,217.0057830810547,0.0117972775786914,0.0318193072522708,0.0054189324265694,0.0063783451521220004
